iteration,action_loss,weighted_action_loss,actual_final_position_mse,actual_final_velocity_mse,state_error_weight_mean,state_error_weight_min,state_error_weight_max,batch_time_seconds,batch_size,action_abs,step_limit,grad_norm,grad_clip_amount,grad_clip_fraction
8000,0.024086054414510727,0.023069152608513832,0.0007607474690303206,1.292608380317688,1.0,1.0,1.0,0.2309308999683708,64.0,0.10274621844291687,1.515625,0.0,0.0,0.0
8200,0.022594770416617393,0.021813826635479927,0.0005530354683287442,1.0480433702468872,1.0,1.0,1.0,0.21533869998529553,64.0,0.10700599104166031,1.390625,0.0,0.0,0.0
8400,0.025080643594264984,0.023542998358607292,0.0007879602489992976,0.8383138179779053,1.0,1.0,1.0,0.2545910000335425,64.0,0.11126479754845302,1.46875,0.0,0.0,0.0
8600,0.02630794793367386,0.024598855525255203,0.0008530622581019998,1.678741216659546,1.0,1.0,1.0,0.22960989992134273,64.0,0.10695695132017136,1.53125,0.0,0.0,0.0
8800,0.02383166365325451,0.02219499461352825,0.0008251693216152489,0.8450509309768677,1.0,1.0,1.0,0.2261425000615418,64.0,0.10495263586441676,1.546875,0.0,0.0,0.0
9000,0.024714799597859383,0.02329103834927082,0.0006724425475113094,0.9898011088371277,1.0,1.0,1.0,0.2237641999963671,64.0,0.10870904723803203,1.515625,0.0,0.0,0.0
9200,0.02388039603829384,0.022638022899627686,0.0007200553664006293,0.9518932700157166,1.0,1.0,1.0,0.2243049000389874,64.0,0.11002343147993088,1.5625,0.0,0.0,0.0
9400,0.023146342486143112,0.021758945658802986,0.0005394478794187307,1.0075600147247314,1.0,1.0,1.0,0.21232819999568164,64.0,0.11081407715876897,1.453125,0.0,0.0,0.0
9600,0.024491410702466965,0.02235584333539009,0.0007050340063869953,0.9034447073936462,1.0,1.0,1.0,0.21606769994832575,64.0,0.10503638287385304,1.46875,0.0,0.0,0.0
9800,0.023385323584079742,0.02259313501417637,0.0006508664810098708,0.6746870875358582,1.0,1.0,1.0,0.23287469986826181,64.0,0.11074172705411911,1.515625,0.0,0.0,0.0
10000,0.02310802787542343,0.021400395780801773,0.0009591446723788977,1.1367928981781006,1.0,1.0,1.0,0.22692390019074082,64.0,0.11605706562598546,1.53125,0.0,0.0,0.0
10200,0.02432883530855179,0.022578556090593338,0.0005578352138400078,0.729865312576294,1.0,1.0,1.0,0.22845220007002354,64.0,0.11193037778139114,1.53125,0.0,0.0,0.0
10400,0.023902207612991333,0.022982558235526085,0.0006179215852171183,1.2570009231567383,1.0,1.0,1.0,0.22997649991884828,64.0,0.11272954692443211,1.578125,0.0,0.0,0.0
10600,0.024656984955072403,0.02352931536734104,0.0008273195708170533,0.9994816184043884,1.0,1.0,1.0,0.27095989999361336,64.0,0.106019988656044,1.625,0.0,0.0,0.0
